"","ParcelNumb","Address","lat","long"
"46","1-2-6-010-002-0103","1765 Ala Moana Boulevard, Honolulu, HI 96815",NA,NA
"47","1-9-1-012-078-0004","91-2115 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"48","1-9-4-134-079-0000","94-775 Kaaka ST, Waipahu, HI 96797",NA,NA
"49","1-9-1-134-030-0015","91-1387 Kaiokia ST, Ewa Beach, HI 96706",NA,NA
"50","1-9-1-016-198-0022","91-1009 Kamaaha AVE, Kapolei, HI 96707",NA,NA
"51","1-9-4-115-006-0069","94-1203 Kipaa PL, Waipahu, HI 96797",NA,NA
"52","1-4-4-016-009-0000","44-624 Kaneohe Bay Drive, Kaneohe, HI 96744",NA,NA
"53","1-4-7-054-050-0000","47-453 Hui Kelu ST, Kaneohe, HI 96744",NA,NA
"54","1-9-2-003-075-0063","92-302 Palaulau PL, Kapolei, HI 96707",NA,NA
"55","1-9-2-019-021-0003","92-1283 Panana ST, Kapolei, HI 96707",NA,NA
"56","1-9-1-010-103-0005","91-372 Makalea ST, Ewa Beach, HI 96706",NA,NA
"57","1-8-4-011-031-0001","84-1111B Lahaina ST, Waianae, HI 96792",NA,NA
"58","1-9-1-081-093-0000","91-807 Oaniani ST, Kapolei, HI 96707",NA,NA
"59","1-9-8-059-001-0039","98-1434B Kaahumanu ST, Pearl City, HI 96782",NA,NA
"60","1-9-1-073-004-0000","91-895 Puhikani ST, Ewa Beach, HI 96706",NA,NA
"61","1-9-5-013-028-0073","95-273 Waikalani Drive, Mililani, HI 96789",NA,NA
"62","1-9-7-050-037-0000","2151 Komo Mai Drive, Pearl City, HI 96782",NA,NA
"63","1-1-9-004-009-0000","3805 Old Pali RD, Honolulu, HI 96817",NA,NA
"64","1-9-1-061-003-0005","91-1068 Mikohu ST, Ewa Beach, HI 96706",NA,NA
"65","1-9-1-117-082-0000","91-1211 Kaiopua ST, Ewa Beach, HI 96706",NA,NA
"66","1-9-5-001-044-0020","95-431 Kuahelani AVE, Mililani, HI 96789",NA,NA
"67","1-9-5-049-044-0016","95-1140 Makaikai ST, Mililani, HI 96789",NA,NA
"68","1-4-5-022-009-0009","45-906B Anoi RD, Kaneohe, HI 96744",NA,NA
"69","1-9-4-007-067-0202","94-543 Lumiaina ST, Waipahu, HI 96797",NA,NA
"70","1-9-4-007-067-0143","94-551 Lumiaina ST, Waipahu, HI 96797",NA,NA
"71","1-3-3-040-011-0000","1644-10th AVE, Honolulu, HI 96816",NA,NA
"72","1-9-8-035-038-0000","98-1228 Kaamilo ST, Aiea, HI 96701",NA,NA
"73","1-9-1-012-040-0096","91-2020 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"74","1-9-1-012-076-0004","91-2119 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"75","1-9-1-056-004-0104","92-1092 Olani ST, Kapolei, HI 96707",NA,NA
"76","1-9-2-019-073-0085","92-1212 Palahia ST, Kapolei, HI 96707",NA,NA
"77","1-9-2-020-071-0065","92-956 Makakilo Drive, Makakilo, HI 96707",NA,NA
"78","1-9-1-096-115-0000","91-1721 Paheahea ST, Ewa Beach, HI 96706",NA,NA
"79","1-9-1-115-004-0006","91-1059 Kaimalie ST, Ewa Beach, HI 96706",NA,NA
"80","1-9-4-115-007-0072","94-1139 Mopua Loop, Waipahu, HI 96797",NA,NA
"81","1-8-7-052-094-0000","87-1670 Wehiwehi ST, Waianae, HI 96792",NA,NA
"82","1-1-1-065-046-0175","3054 Ala Poha PL, Honolulu, HI 96818",NA,NA
"83","1-3-2-005-042-0000","1125-10th AVE, Honolulu, HI 96816",NA,NA
"84","1-9-1-061-031-0030","91-1132 Laaulu ST, Ewa Beach, HI 96706",NA,NA
"85","1-9-1-050-091-0162","91-1135 Puamaeole ST, Ewa Beach, HI 96706",NA,NA
"86","1-9-1-061-030-0031","91-1100 Laaulu ST, Ewa Beach, HI 96706",NA,NA
"87","1-9-1-102-012-0006","91-1057 Laulauna ST, Ewa Beach, HI 96706",NA,NA
"88","1-9-8-043-053-0000","98-1117 Kaonohi ST, Aiea, HI 96701",NA,NA
"89","1-9-4-169-105-0000","94-1096 Hahana ST, Waipahu, HI 96797",NA,NA
"90","1-9-8-059-023-0061","98-1268C Hoohiki PL, Pearl City, HI 96782",NA,NA
"91","1-9-1-068-067-0000","91-1024 Kaana ST, Kapolei, HI 96707",NA,NA
"92","1-9-1-095-067-0000","91-1619 Hookahe PL, Ewa Beach, HI 96706",NA,NA
"93","1-3-2-022-027-0000","839-10th AVE, Honolulu, HI 96816",NA,NA
"94","1-9-2-019-068-0129","92-1189 Palahia ST, Kapolei, HI 96707",NA,NA
"95","1-9-1-124-034-0000","91-1136 Kaileolea Drive, Ewa Beach, HI 96706",NA,NA
"96","1-8-4-012-037-0000","84-973 Lahaina ST, Waianae, HI 96792",NA,NA
"97","1-3-5-017-004-0086","4300 Waialae AVE, Honolulu, HI 96816",NA,NA
"98","1-5-7-001-029-0012","57-101 Kuilima Drive, Kahuku, HI 96731",NA,NA
"99","1-8-7-033-034-0006","87-1720 Farrington Highway, Waianae, HI 96792",NA,NA
"100","1-3-4-003-006-0002","2140-10th AVE, Honolulu, HI 96816",NA,NA
"101","1-3-3-035-025-0002","1855-10th AVE, Honolulu, HI 96816",NA,NA
"102","1-9-1-061-031-0041","91-1120 Laaulu ST, Ewa Beach, HI 96706",NA,NA
"103","1-4-2-093-008-0000","595 Keolu Drive, Kailua, HI 96734",NA,NA
"104","1-5-6-010-156-0000","56-103 Alapa PL, Kahuku, HI 96731",NA,NA
"105","1-3-3-037-006-0000","2071-10th AVE, Honolulu, HI 96816",NA,NA
"106","1-9-4-103-003-0039","94-858 Lelepua ST, Waipahu, HI 96797",NA,NA
"107","1-4-7-004-012-0077","47-393 1 Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"108","1-9-1-142-059-0000","91-1118 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"109","1-9-1-132-010-0059","91-2234 Kanela ST, Ewa Beach, HI 96706",NA,NA
"110","1-9-1-046-028-0000","91-1659 Auwaha ST, Ewa Beach, HI 96706",NA,NA
"111","1-9-4-029-090-0000","94-555 Awamoi ST, Waipahu, HI 96797",NA,NA
"112","1-9-1-016-145-0002","91-1169 Kaiau AVE, Kapolei, HI 96707",NA,NA
"113","1-9-2-019-044-0043","92-1127 Panana ST, Kapolei, HI 96707",NA,NA
"114","1-9-1-132-010-0022","91-2002 Kanela ST, Ewa Beach, HI 96706",NA,NA
"115","1-9-5-002-029-0018","95-797 Wikao ST, Mililani, HI 96789",NA,NA
"116","1-8-4-001-005-0079","84-265 Farrington Highway, Waianae, HI 96792",NA,NA
"117","1-9-1-142-119-0000","91-1067 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"118","1-9-2-019-021-0034","92-1313 Panana ST, Kapolei, HI 96707",NA,NA
"119","1-9-1-012-040-0112","91-2041 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"120","1-9-1-012-058-0021","91-2074 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"121","1-9-1-012-086-0015","91-2109 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"122","1-9-1-010-112-0006","91-588 Makalea ST, Ewa Beach, HI 96706",NA,NA
"123","1-9-4-007-032-0033","94-636 Lumiaina ST, Waipahu, HI 96797",NA,NA
"124","1-9-4-103-003-0011","94-864 Lelepua ST, Waipahu, HI 96797",NA,NA
"125","1-3-4-001-059-0000","1924-10th AVE, Honolulu, HI 96816",NA,NA
"126","1-3-4-015-018-0001","2386-10th Ave PL, Honolulu, HI 96816",NA,NA
"127","1-1-7-015-006-0014","336 Kuakini STs, Honolulu, HI 96817",NA,NA
"128","1-9-1-050-091-0204","91-1179 Puamaeole ST, Ewa Beach, HI 96706",NA,NA
"129","1-9-4-024-065-0000","94-1231 Hiapo ST, Waipahu, HI 96797",NA,NA
"130","1-9-1-138-086-0000","91-1040 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"131","1-3-2-052-025-0000","801-17th AVE, Honolulu, HI 96816",NA,NA
"132","1-4-5-074-033-0000","45-204C Lilipuna RD, Kaneohe, HI 96744",NA,NA
"133","1-9-1-123-115-0015","91-1050 Kaileolea Drive, Ewa Beach, HI 96706",NA,NA
"134","1-9-1-016-193-0006","91-1265 Kamaaha AVE, Kapolei, HI 96707",NA,NA
"135","1-9-5-086-013-0025","95-1023 Mahea ST, Mililani, HI 96789",NA,NA
"136","1-8-7-006-014-0000","87-1286 Farrington Highway, Waianae, HI 96792",NA,NA
"137","1-8-7-052-088-0000","87-1690 Wehiwehi ST, Waianae, HI 96792",NA,NA
"138","1-9-2-019-025-0089","92-1045 Makakilo Drive, Kapolei, HI 96707",NA,NA
"139","1-9-8-059-023-0041","98-1271 B Hoohiki PL, Pearl City, HI 96782",NA,NA
"140","1-9-4-103-003-0035","94-862 Lelepua ST, Waipahu, HI 96797",NA,NA
"141","1-4-5-021-024-0002","45-550 Pahia RD, Kaneohe, HI 96744",NA,NA
"142","1-9-1-044-056-0000","91-1734 Ala Loa ST, Ewa Beach, HI 96706",NA,NA
"143","1-8-7-052-097-0000","87-1660 Wehiwehi ST, Waianae, HI 96792",NA,NA
"144","1-9-5-002-023-0008","95-524 Wikao ST, Mililani, HI 96789",NA,NA
"145","1-9-1-116-017-0006","91-740 Launahele ST, Ewa Beach, HI 96706",NA,NA
"146","1-9-8-067-067-0000","98-636 Kuini ST, Aiea, HI 96701",NA,NA
"147","1-4-3-015-041-0000","100 Kalaheo AVE, Kailua, HI 96734",NA,NA
"148","1-9-8-059-001-0077","98-805C Noelani ST, Pearl City, HI 96782",NA,NA
"149","1-9-1-010-092-0009","91-256 Makalea ST, Ewa Beach, HI 96706",NA,NA
"150","1-8-7-010-022-0053","87-1950 Pakeke ST, Waianae, HI 96792",NA,NA
"151","1-2-3-006-014-0252","1177 QUEEN ST, HONOLULU, HI 96814",NA,NA
"152","1-4-2-001-048-0118","1015 Aoloa PL, Kailua, HI 96734",NA,NA
"153","1-9-2-019-045-0006","92-1226 Makakilo Drive, Kapolei, HI 96707",NA,NA
"154","1-9-2-019-073-0161","92-1226 Palahia ST, Kapolei, HI 96707",NA,NA
"155","1-9-2-019-068-0012","92-1155 Palahia ST, Kapolei, HI 96707",NA,NA
"156","1-4-7-004-019-0072","47-740 Hui Kelu ST, Kaneohe, HI 96744",NA,NA
"157","1-9-1-023-091-0000","91-279 Fort Weaver RD, Ewa Beach, HI 96706",NA,NA
"158","1-8-4-002-049-0543","84-664 Ala Mahiku ST, Waianae, HI 96792",NA,NA
"159","1-9-9-025-094-0000","99-553 Aiea Heights Drive, Aiea, HI 96701",NA,NA
"160","1-8-6-022-006-0000","86-363 Kawili ST, Waianae, HI 96792",NA,NA
"161","1-9-1-061-020-0013","91-940 Puahala ST, Ewa Beach, HI 96706",NA,NA
"162","1-3-2-001-007-0000","1115-2nd AVE, Honolulu, HI 96816",NA,NA
"163","1-9-4-109-025-0000","94-278 Keaolani ST, Mililani, HI 96789",NA,NA
"164","1-3-2-052-039-0000","816-18th AVE, Honolulu, HI 96816",NA,NA
"165","1-4-6-031-017-0169","46-271 Kahuhipa ST, Kaneohe, HI 96744",NA,NA
"166","1-3-2-031-020-0000","659-12th AVE, Honolulu, HI 96816",NA,NA
"167","1-9-4-089-020-0000","94-696 Lea PL, Mililani, HI 96789",NA,NA
"168","1-9-5-002-023-0159","95-786 Wikao ST, Mililani, HI 96789",NA,NA
"169","1-9-4-005-029-0064","94-160 Anania Drive, Mililani, HI 96789",NA,NA
"170","1-9-8-002-028-0053","98-1072 Komo Mai Drive, Aiea, HI 96701",NA,NA
"171","1-9-5-063-085-0000","95-319 Alaoki PL, Mililani, HI 96789",NA,NA
"172","1-9-4-079-040-0000","94-541 Makohilani ST, Mililani, HI 96789",NA,NA
"173","1-9-5-070-033-0000","95-1007 Pahaku ST, Mililani, HI 96789",NA,NA
"174","1-3-9-008-009-0024","500 Lunalilo Home RD, Honolulu, HI 96825",NA,NA
"175","1-9-1-056-005-0092","92-1047 Koio Drive, Ko Olina, HI 96707",NA,NA
"176","1-9-1-092-068-0000","91-1012 Aukahi ST, Kapolei, HI 96707",NA,NA
"177","1-4-7-004-020-0072","47-366C Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"178","1-9-1-016-041-0124","91-1167 Kamaaha Loop, Kapolei, HI 96707",NA,NA
"179","1-9-1-071-080-0015","91-1061 Oaniani ST, Kapolei, HI 96707",NA,NA
"180","1-9-1-133-115-0000","91-1016 Kaimoana ST, Ewa Beach, HI 96706",NA,NA
"181","1-9-1-061-034-0038","91-1200 Mikohu ST, Ewa Beach, HI 96706",NA,NA
"182","1-9-1-012-049-0010","91  1151 Keoneula Boulevard, Ewa Beach, HI 96706",NA,NA
"183","1-9-4-133-139-0000","94-875 Kaaholo ST, Waipahu, HI 96797",NA,NA
"184","1-9-1-113-074-0000","91-1359 Wahane ST, Kapolei, HI 96707",NA,NA
"185","1-9-4-007-067-0099","94-517 Lumiaina ST, Waipahu, HI 96797",NA,NA
"186","1-9-4-007-047-0075","94-748 Lumiauau ST, Waipahu, HI 96797",NA,NA
"187","1-9-1-076-186-0080","91-1211 Kaneana ST, Ewa Beach, HI 96706",NA,NA
"188","1-9-2-019-024-0003","92-1120 Panana ST, Kapolei, HI 96707",NA,NA
"189","1-9-1-012-073-0014","91-2073 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"190","1-9-2-048-094-0007","92-862 Welo ST, Kapolei, HI 96707",NA,NA
"191","1-9-4-115-015-0023","94-1033 Oli PL, Waipahu, HI 96797",NA,NA
"192","1-9-4-136-059-0000","94-1083 Heahea ST, Waipahu, HI 96797",NA,NA
"193","1-9-1-056-014-0248","92-1479H Aliinui Drive, Kapolei, HI 96707",NA,NA
"194","1-9-5-001-052-0064","95-332 Kaloapau ST, Mililani, HI 96789",NA,NA
"195","1-9-2-019-044-0084","92-1143 Panana ST, Kapolei, HI 96707",NA,NA
"196","1-9-1-010-069-0005","91-1040 Komoaina ST, Ewa Beach, HI 96706",NA,NA
"197","1-9-1-155-053-0000","91-1100 Waiemi ST, Ewa Beach, HI 96706",NA,NA
"198","1-9-1-010-110-0006","91-542 Makalea ST, Ewa Beach, HI 96706",NA,NA
"199","1-4-7-050-011-0001","47-467A Ahuimanu RD, Kaneohe, HI 96744",NA,NA
"200","1-9-5-002-004-0056","95-1317 Wikao ST, Mililani, HI 96789",NA,NA
"201","1-9-8-063-137-0000","98-1925 Hapaki ST, Aiea, HI 96701",NA,NA
"202","1-9-5-051-066-0000","95-1046 Ahea ST, Mililani, HI 96789",NA,NA
"203","1-4-3-034-043-0000","275 Kainalu Drive, Kailua, HI 96734",NA,NA
"204","1-4-4-012-004-0055","44-361 4 Nilu ST, Kaneohe, HI 96744",NA,NA
"205","1-2-3-006-014-0288","1177 Queen STs, HONOLULU, HI 96814",NA,NA
"206","1-9-4-069-062-0000","94-364 Kapuahi ST, Mililani, HI 96789",NA,NA
"207","1-8-7-050-069-0000","87-1519 Laia ST, Waianae, HI 96792",NA,NA
"208","1-3-3-011-058-0000","1342-17th AVE, Honolulu, HI 96816",NA,NA
"209","1-3-3-037-018-0005","2115-10th AVE, Honolulu, HI 96816",NA,NA
"210","1-9-1-012-073-0019","91-2075 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"211","1-9-1-012-068-0024","91-2051 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"212","1-9-2-019-060-0001","92-1083 Palahia ST, Kapolei, HI 96707",NA,NA
"213","1-3-3-036-038-0000","1903 A 10th AVE, Honolulu, HI 96816",NA,NA
"214","1-9-1-016-041-0044","91-1149 Kamaaha Loop, Kapolei, HI 96707",NA,NA
"215","1-9-1-012-058-0046","91-2070 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"216","1-9-1-010-094-0008","91-356 Makalea ST, Ewa Beach, HI 96706",NA,NA
"217","1-8-7-010-022-0064","87-1958 Pakeke ST, Waianae, HI 96792",NA,NA
"218","1-9-1-028-005-0000","91-701F Pohakupuna RD, Ewa Beach, HI 96706",NA,NA
"219","1-9-2-019-045-0039","92-1234 Makakilo Drive, Kapolei, HI 96707",NA,NA
"220","1-3-4-002-010-0000","2052-10th AVE, Honolulu, HI 96816",NA,NA
"221","1-9-4-007-074-0028","94-532 Lumiauau ST, Waipahu, HI 96797",NA,NA
"222","1-9-1-010-107-0006","91-470 Makalea ST, Ewa Beach, HI 96706",NA,NA
"223","1-9-4-025-009-0000","94-514 Farrington Highway, Waipahu, HI 96797",NA,NA
"224","1-9-2-020-071-0081","92-950 Makakilo Drive, Kapolei, HI 96707",NA,NA
"225","1-9-8-035-054-0000","98-1082 Kaamilo ST, Honolulu, HI 96701",NA,NA
"226","1-9-5-086-013-0009","95-1036 Mahea ST, Mililani, HI 96789",NA,NA
"227","1-9-1-076-188-0022","91-1217 Kaneana ST, Ewa Beach, HI 96706",NA,NA
"228","1-9-4-074-001-0000","94-1004 Hiapo ST, Waipahu, HI 96797",NA,NA
"229","1-4-5-020-020-0000","45-518 Keaahala RD, Kaneohe, HI 96744",NA,NA
"230","1-4-3-012-045-0000","200 Kalaheo AVE, Kailua, HI 96734",NA,NA
"231","1-8-7-052-118-0000","87-1625 Wehiwehi ST, Waianae, HI 96792",NA,NA
"232","1-8-7-052-091-0000","87-1680 Wehiwehi ST, Waianae, HI 96792",NA,NA
"233","1-9-1-012-040-0155","91-1018 Kaipalaoa ST, Ewa Beach, HI 96706",NA,NA
"234","1-9-1-142-101-0000","91-1114 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"235","1-4-3-027-032-0000","225 Kalaheo AVE, Kailua, HI 96734",NA,NA
"236","1-3-3-036-021-0000","1967-10th AVE, Honolulu, HI 96816",NA,NA
"237","1-4-2-094-012-0000","519 Keolu Drive, Kailua, HI 96734",NA,NA
"238","1-8-4-002-049-0135","84-754 Ala Mahiku ST, Waianae, HI 96792",NA,NA
"239","1-9-4-115-038-0054","94-1378 Kulewa Loop, Waipahu, HI 96797",NA,NA
"240","1-9-2-019-073-0140","92-1232 Palahia ST, Kapolei, HI 96707",NA,NA
"241","1-3-2-049-059-0001","930-20th AVE, Honolulu, HI 96816",NA,NA
"242","1-9-1-061-030-0021","91-1110 Laaulu ST, Ewa Beach, HI 96706",NA,NA
"243","1-9-4-115-038-0032","94-1390 Kulewa Loop, Waipahu, HI 96797",NA,NA
"244","1-9-5-087-032-0000","95-1009 Helepu ST, Mililani, HI 96789",NA,NA
"245","1-9-1-155-042-0000","91-1767 Waiaama ST, Ewa Beach, HI 96706",NA,NA
"246","1-9-2-019-045-0014","92-1246 Makakilo Drive, Kapolei, HI 96707",NA,NA
"247","1-9-1-012-058-0056","91-2080 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"248","1-9-1-132-087-0000","91-1111 Hoomahana ST, Ewa Beach, HI 96706",NA,NA
"249","1-9-1-010-092-0021","91-276 Makalea ST, Ewa Beach, HI 96706",NA,NA
"250","1-9-4-055-066-0000","94-695 Loaa ST, Waipahu, HI 96797",NA,NA
"251","1-9-1-131-091-0000","91-1029 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"252","1-9-4-007-067-0177","94-545 Lumiaina ST, Waipahu, HI 96797",NA,NA
"253","1-1-1-012-036-0090","1317H Moanalualani Way, Honolulu, HI 96819",NA,NA
"254","1-9-1-155-038-0000","91-1770 Waiaama ST, Ewa Beach, HI 96706",NA,NA
"255","1-9-2-019-020-0031","92-1235 Panana ST, Kapolei, HI 96707",NA,NA
"256","1-9-1-130-144-0000","91-1015 Hoomalie ST, Ewa Beach, HI 96706",NA,NA
"257","1-8-4-006-036-0000","84-760 Moua ST, Waianae, HI 96792",NA,NA
"258","1-9-1-056-005-0265","92-1101 Koio Drive, Kapolei, HI 96707",NA,NA
"259","1-9-2-048-091-0000","92-2194 Opalipali ST, Kapolei, HI 96707",NA,NA
"260","1-9-8-039-003-0009","98-1040 Moanalua RD, Aiea, HI 96701",NA,NA
"261","1-9-4-115-016-0028","94-1259 Lumikula ST, Waipahu, HI 96797",NA,NA
"262","1-9-1-130-014-0000","91-345 Hoolu PL, Ewa Beach, HI 96706",NA,NA
"263","1-9-4-007-051-0008","94-217 Lumiaina PL, Waipahu, HI 96797",NA,NA
"264","1-4-5-096-028-0000","45-636 Liula ST, Kaneohe, HI 96744",NA,NA
"265","1-9-1-123-127-0000","91-1027 Kaiko ST, Ewa Beach, HI 96706",NA,NA
"266","1-9-1-102-012-0018","91-1051 Laulauna ST, Ewa Beach, HI 96706",NA,NA
"267","1-9-2-019-068-0021","92-1151 Palahia ST, Kapolei, HI 96707",NA,NA
"268","1-9-1-138-075-0000","91-1021 Kai Loli ST, Ewa Beach, HI 96706",NA,NA
"269","1-4-4-020-034-0000","44-710 Malulani ST, Kaneohe, HI 96744",NA,NA
"270","1-9-8-057-078-0000","98-1719 Nahele ST, Aiea, HI 96701",NA,NA
"271","1-9-2-025-080-0000","92-1342 Kikaha ST, Kapolei, HI 96707",NA,NA
"272","1-9-4-068-037-0000","94-370 Anania Drive, Mililani, HI 96789",NA,NA
"273","1-9-5-014-113-0000","95-332 Ikaloa ST, Mililani, HI 96789",NA,NA
"274","1-9-1-162-015-0003","91-1223 Kaikohola ST, Ewa Beach, HI 96706",NA,NA
"275","1-4-5-053-002-0000","45-320A Mahalani ST, Kaneohe, HI 96744",NA,NA
"276","1-9-4-070-034-0000","94-515 Anania Court, Mililani, HI 96789",NA,NA
"277","1-9-1-132-010-0085","91-2112 Kanela ST, Ewa Beach, HI 96706",NA,NA
"278","1-9-2-019-073-0108","92-1218 Palahia ST, Kapolei, HI 96707",NA,NA
"279","1-4-7-004-012-0037","47-392 Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"280","1-9-4-007-085-0039","94-662 Lumiauau ST, waipahu, HI 96797",NA,NA
"281","1-9-4-153-019-0000","94-1037 Kaloli Loop, Waipahu, HI 96797",NA,NA
"282","1-9-1-039-001-0031","91-654 Kilaha ST, Ewa Beach, HI 96706",NA,NA
"283","1-9-8-002-048-0009","98-1820 Kaahumanu ST, Pearl City, HI 96782",NA,NA
"284","1-8-6-020-092-0000","86-258 Kawili ST, Waianae, HI 96792",NA,NA
"285","1-9-4-082-003-0000","94-405 Makapipipi ST, Mililani, HI 96789",NA,NA
"286","1-4-7-004-012-0106","47-411 Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"287","1-9-1-113-035-0000","91-238 Paiaha PL, Kapolei, HI 96707",NA,NA
"288","1-4-7-053-055-0000","47-476 Hui Io ST, Kaneohe, HI 96744",NA,NA
"289","1-9-8-054-048-0000","98-1645 Hapaki ST, Aiea, HI 96701",NA,NA
"290","1-9-2-025-085-0000","92-1326 Kikaha ST, Kapolei, HI 96707",NA,NA
"291","1-9-5-089-010-0000","95-1072 Keni ST, Mililani, HI 96789",NA,NA
"292","1-8-4-013-025-0000","84-1050 Farrington Highway, Waianae, HI 96792",NA,NA
"293","1-9-4-055-045-0000","94-516 Loaa ST, Waipahu, HI 96797",NA,NA
"294","1-4-3-047-046-0000","437 A Hualani ST, kailua, HI 96734",NA,NA
"295","1-9-1-016-198-0002","91-1013 Kamaaha AVE, Kapolei, HI 96707",NA,NA
"296","1-9-4-005-030-0163","94-1434 Lanikuhana AVE, Mililani, HI 96789",NA,NA
"297","1-9-4-069-049-0000","94-402 Kapuahi ST, Mililani, HI 96789",NA,NA
"298","1-9-1-016-041-0068","91-1155 Kamaaha Loop, Kapolei, HI 96707",NA,NA
